Begin	End	Repetitions	Basic	Multiplex	Lookup	Optimised	Vector
point[0, 0, 0]	point[10000, 2500, 10000]	100000	18499541	20001075	19374851	17931494	20188426
point[0, 0, 0]	point[10000, 5000, 0]	100000	18204520	20060571	18962555	17972757	20194660
point[0, 0, 0]	point[10000, 5000, 2500]	100000	18154683	20138170	19044704	18045236	20077015
point[0, 0, 0]	point[10000, 5000, 5000]	100000	18036943	19957532	19044742	18142867	20044397
point[0, 0, 0]	point[10000, 5000, 7500]	100000	18305179	19903430	19114797	18112743	20054493
point[0, 0, 0]	point[10000, 5000, 10000]	100000	18500292	20009860	19233096	17996395	20084877
point[0, 0, 0]	point[10000, 7500, 0]	100000	18359263	20194270	19443634	17847955	20088123
point[0, 0, 0]	point[10000, 7500, 2500]	100000	18279865	19994219	19310197	18338533	20140426
point[0, 0, 0]	point[10000, 7500, 5000]	100000	18223459	20038189	19342825	18315367	20099461
point[0, 0, 0]	point[10000, 7500, 7500]	100000	18351073	20271176	19492078	18539425	20144987
point[0, 0, 0]	point[10000, 7500, 10000]	100000	18547755	20455799	19617960	18241951	20110144
point[0, 0, 0]	point[10000, 10000, 0]	100000	18221226	20384936	19747337	18251341	20162492
point[0, 0, 0]	point[10000, 10000, 2500]	100000	18275528	20190481	19574145	18727918	20142624
point[0, 0, 0]	point[10000, 10000, 5000]	100000	18435849	20622406	19712665	18604595	20144165
point[0, 0, 0]	point[10000, 10000, 7500]	100000	18447893	20510802	19729578	18455733	20150768
point[0, 0, 0]	point[10000, 10000, 10000]	100000	18636817	20747703	19770555	18090881	20147417
point[0, 0, 0]	point[100000, 0, 0]	10000	22254146	23897506	22814261	22058807	24816359
point[0, 0, 0]	point[100000, 0, 25000]	10000	22413404	23964882	23173978	22094276	24808522
point[0, 0, 0]	point[100000, 0, 50000]	10000	22944277	24887867	23870729	22449713	25014971
point[0, 0, 0]	point[100000, 0, 75000]	10000	22720835	24277353	23663221	22624346	25207608
point[0, 0, 0]	point[100000, 0, 100000]	10000	23186548	24561922	24018518	22614324	25210752
point[0, 0, 0]	point[100000, 25000, 0]	10000	22783025	24409540	23488662	22480315	25185661
point[0, 0, 0]	point[100000, 25000, 25000]	10000	23067463	24516858	23599867	23065981	25553600
point[0, 0, 0]	point[100000, 25000, 50000]	10000	23336896	24304874	23780465	22923564	25242183
point[0, 0, 0]	point[100000, 25000, 75000]	10000	23232361	24594860	24145379	23368359	25128858
point[0, 0, 0]	point[100000, 25000, 100000]	10000	23183670	24461790	23849360	22449680	25137875
point[0, 0, 0]	point[100000, 50000, 0]	10000	23074160	24865833	23668878	22726253	25346416
point[0, 0, 0]	point[100000, 50000, 25000]	10000	24115771	25505082	23786217	22798077	24880957
point[0, 0, 0]	point[100000, 50000, 50000]	10000	22666033	24327482	23777371	22672100	24821722
point[0, 0, 0]	point[100000, 50000, 75000]	10000	23085317	24447807	23863798	22789093	24812440
point[0, 0, 0]	point[100000, 50000, 100000]	10000	23319002	25465012	24709996	23157095	25354227
point[0, 0, 0]	point[100000, 75000, 0]	10000	23360700	25157496	24629120	22943747	25409244
